[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ route_check ] --START--
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000405s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000456s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ app_begin ] --START--
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000235s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000266s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_role` [ RunTime:0.001888s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SELECT * FROM `xnfy520_yaomai_role` WHERE publish=1 ORDER BY sort,level  [ RunTime:0.000227s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_advert_category` [ RunTime:0.002550s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SELECT * FROM `xnfy520_yaomai_advert_category` ORDER BY sort,create_date  [ RunTime:0.000188s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_category` [ RunTime:0.001504s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SELECT * FROM `xnfy520_yaomai_commodity_category` ORDER BY sort,create_date  [ RunTime:0.000189s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_template ] --START--
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000220s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000256s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_parse ] --START--
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' a07fe2cf594cb6cde914991aba535d51.php 第 229 行.
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Undefined index: page a07fe2cf594cb6cde914991aba535d51.php 第 233 行.
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Undefined index: sid a07fe2cf594cb6cde914991aba535d51.php 第 235 行.
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Undefined index: cid a07fe2cf594cb6cde914991aba535d51.php 第 237 行.
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Undefined index: id a07fe2cf594cb6cde914991aba535d51.php 第 239 行.
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.024213s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024250s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_filter ] --START--
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000391s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000169s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000104s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000284s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001046s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_end ] --START--
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000322s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000376s ]
[ 2013-09-07T08:37:49+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/verify | INFO: Tag[ route_check ] --START--
