[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ route_check ] --START--
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000379s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000429s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ app_begin ] --START--
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000402s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000452s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_role` [ RunTime:0.001930s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SELECT * FROM `xnfy520_yaomai_role` WHERE publish=1 ORDER BY sort,level  [ RunTime:0.000206s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_advert_category` [ RunTime:0.002379s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SELECT * FROM `xnfy520_yaomai_advert_category` ORDER BY sort,create_date  [ RunTime:0.027505s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_category` [ RunTime:0.002103s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SELECT * FROM `xnfy520_yaomai_commodity_category` ORDER BY sort,create_date  [ RunTime:0.000212s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_template ] --START--
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000300s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000339s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_parse ] --START--
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' a07fe2cf594cb6cde914991aba535d51.php 第 229 行.
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Undefined index: page a07fe2cf594cb6cde914991aba535d51.php 第 233 行.
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Undefined index: sid a07fe2cf594cb6cde914991aba535d51.php 第 235 行.
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Undefined index: cid a07fe2cf594cb6cde914991aba535d51.php 第 237 行.
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Undefined index: id a07fe2cf594cb6cde914991aba535d51.php 第 239 行.
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.028473s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.028534s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_filter ] --START--
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000477s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000247s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000133s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000233s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001200s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_end ] --START--
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000282s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000325s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ route_check ] --START--
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000667s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000761s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ app_begin ] --START--
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000282s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000318s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_role` [ RunTime:0.014012s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SELECT * FROM `xnfy520_yaomai_role` WHERE publish=1 ORDER BY sort,level  [ RunTime:0.000802s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_advert_category` [ RunTime:0.002313s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SELECT * FROM `xnfy520_yaomai_advert_category` ORDER BY sort,create_date  [ RunTime:0.000217s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_category` [ RunTime:0.001708s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | SQL: SELECT * FROM `xnfy520_yaomai_commodity_category` ORDER BY sort,create_date  [ RunTime:0.000251s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_template ] --START--
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000333s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000404s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_parse ] --START--
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Use of undefined constant GROUP_NAME - assumed 'GROUP_NAME' a07fe2cf594cb6cde914991aba535d51.php 第 229 行.
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Undefined index: page a07fe2cf594cb6cde914991aba535d51.php 第 233 行.
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Undefined index: sid a07fe2cf594cb6cde914991aba535d51.php 第 235 行.
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Undefined index: cid a07fe2cf594cb6cde914991aba535d51.php 第 237 行.
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | NOTIC: [8] Undefined index: id a07fe2cf594cb6cde914991aba535d51.php 第 239 行.
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.009053s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009113s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_filter ] --START--
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000620s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000341s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000205s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000423s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001779s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_end ] --START--
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000360s ]
[ 2013-09-09T09:08:30+08:00 ] /xnfy520_yaomai/admin.php?s=/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000422s ]
