[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | INFO: Tag[ route_check ] --START--
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | INFO: Run CheckRoute Behavior [ RunTime:0.000700s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000832s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | INFO: Tag[ app_begin ] --START--
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000350s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000408s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.005559s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001785s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SELECT * FROM `xnfy520_yaomai_help_center_information` WHERE pid=1 and publish=1 ORDER BY sort,id  [ RunTime:0.000354s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001551s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000232s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001699s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000258s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001783s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000234s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001966s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000226s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE id<>1 and publish=1  [ RunTime:0.000222s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.007020s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='2' ORDER BY sort,id LIMIT 4   [ RunTime:0.000314s ]
[ 2013-09-06T09:50:50+08:00 ] /xnfy520_yaomai/Index/login | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.002476s ]
