[ 2013-09-06T12:02:16+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | INFO: Tag[ route_check ] --START--
[ 2013-09-06T12:02:16+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | INFO: Run CheckRoute Behavior [ RunTime:0.000649s ]
[ 2013-09-06T12:02:16+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000741s ]
[ 2013-09-06T12:02:16+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | INFO: Tag[ app_begin ] --START--
[ 2013-09-06T12:02:16+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000290s ]
[ 2013-09-06T12:02:16+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000336s ]
[ 2013-09-06T12:02:16+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.017135s ]
[ 2013-09-06T12:02:16+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.011607s ]
[ 2013-09-06T12:02:16+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SELECT * FROM `xnfy520_yaomai_help_center_information` WHERE pid=1 and publish=1 ORDER BY sort,id  [ RunTime:0.000317s ]
[ 2013-09-06T12:02:16+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.053742s ]
[ 2013-09-06T12:02:16+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000360s ]
[ 2013-09-06T12:02:16+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.011109s ]
[ 2013-09-06T12:02:16+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000256s ]
[ 2013-09-06T12:02:16+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.021959s ]
[ 2013-09-06T12:02:16+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000238s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.042103s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000247s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE id<>1 and publish=1  [ RunTime:0.000192s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.021318s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='2' ORDER BY sort,id LIMIT 4   [ RunTime:0.000319s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.132427s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='3' ORDER BY sort,id LIMIT 4   [ RunTime:0.000274s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.002696s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='4' ORDER BY sort,id LIMIT 4   [ RunTime:0.000839s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.039516s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='5' ORDER BY sort,id LIMIT 4   [ RunTime:0.000325s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_category` [ RunTime:0.002421s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SELECT * FROM `xnfy520_yaomai_commodity_category` WHERE publish=1 ORDER BY sort,id  [ RunTime:0.000398s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.029088s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='1' ORDER BY sort,id  [ RunTime:0.000270s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.021635s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='2' ORDER BY sort,id  [ RunTime:0.000309s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.042995s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='3' ORDER BY sort,id  [ RunTime:0.000326s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.021899s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='4' ORDER BY sort,id  [ RunTime:0.000347s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.022148s ]
[ 2013-09-06T12:02:17+08:00 ] /xnfy520_yaomai/Cart/order_complete/out_trade_no/6310448731 | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='5' ORDER BY sort,id  [ RunTime:0.000332s ]
