[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | INFO: Tag[ app_begin ] --START--
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001470s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.042778s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.038242s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.025798s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_help_center_information` WHERE pid=1 and publish=1 ORDER BY sort,id  [ RunTime:0.077721s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.003111s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.008916s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.002427s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000184s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.002006s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000275s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.002327s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000215s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE id<>1 and publish=1  [ RunTime:0.000230s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001878s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='2' ORDER BY sort,id LIMIT 4   [ RunTime:0.000284s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.002906s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='3' ORDER BY sort,id LIMIT 4   [ RunTime:0.000276s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.015213s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='4' ORDER BY sort,id LIMIT 4   [ RunTime:0.000266s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.010904s ]
[ 2013-09-09T08:32:10+08:00 ] /xnfy520_yaomai/ | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='5' ORDER BY sort,id LIMIT 4   [ RunTime:0.000274s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_category` [ RunTime:0.002935s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_commodity_category` WHERE publish=1 ORDER BY sort,id  [ RunTime:0.000430s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002003s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='1' ORDER BY sort,id  [ RunTime:0.001484s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.005127s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='2' ORDER BY sort,id  [ RunTime:0.000315s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.009056s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='3' ORDER BY sort,id  [ RunTime:0.000332s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.003338s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='4' ORDER BY sort,id  [ RunTime:0.000259s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002269s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='5' ORDER BY sort,id  [ RunTime:0.000272s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002177s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='6' ORDER BY sort,id  [ RunTime:0.000270s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_advert_list` [ RunTime:0.012635s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_advert_list` WHERE publish=1 AND pid=9 ORDER BY sort LIMIT 1   [ RunTime:0.043532s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_system_announcement` [ RunTime:0.002904s ]
[ 2013-09-09T08:32:11+08:00 ] /xnfy520_yaomai/ | SQL: SELECT * FROM `xnfy520_yaomai_system_announcement` WHERE publish=1 ORDER BY sort desc LIMIT 20   [ RunTime:0.042020s ]
